case,sample_id,domain,intent_label,gold,gold_rank,gold_score,top1,top1_same_group,context_preview
1,03_session_0053#turn952,Media Sharing,humor_teasing,1466512661914058777.png,1,8.7938,1466512661914058777.png,True,ff835b6f: this is good || d9f3f839: I would prefer this be more common because I run into this exact thing quite often || ff835b6f: yeah || 0d1fc891: i just use a flag because it’s more obvious to me || d9f3f839: well...
2,52_session_0001#turn5588,Media Sharing,neutral_acknowledgment,182536080015233511.png,1,8.182,182536080015233511.png,True,c23f52e7: [sticker:6046091055319746612.gif] || None: [sticker:2345073579797775165.png] || c23f52e7: [sticker:5931563853996362737.webm] || None: [sticker:5913589523236786063.webm] || 32e260bf: || None: [sticker:2345073...
3,52_session_0001#turn4453,Media Sharing,frustration_disapproval,675168768736887035.png,2,8.5616,6064203997558867130.webm,False,96db0d27: [sticker:6264779932354742537.webm] || 0be614be: [sticker:5327816856633872803.png] || 388804ee: [sticker:5197541655208535110.webm] || 96db0d27: || dfe574c2: Sticker pack miakhalifanormalingdife44 has been dis...
4,58_session_0003#turn912,Media Sharing,frustration_disapproval,202331403893876219.png,2,8.5435,202331403893877459.png,True,"None: [sticker:202331403893873507.png] || 13970572: #USER_ID, #USER_ID has reduced your reputation. Your reputation 21 || None: [sticker:6030550373289168190.png] || c9327094: || None: [sticker:202331403893873090.png] ..."
5,37_session_0010#turn625,Anime,surprise_reaction,1650176364118016154.png,2,7.9929,5904490759574260959.webm,False,3de88128: merde ils nous ont gater cette serie || 3de88128: on veut voir le sang pas les herbes ! || 483e4d37: S'il vous plaît personne ici n'a le film ou le lien pour Suzume ? || fe08ca80: || e634d6f7: Bonjour! J'vie...
6,03_session_0037#turn873,Media Sharing,humor_teasing,586332391035896109.png,2,7.6361,1833747660100599875.png,False,"3d03a55b: Hallo Mark, Vielen Dank für Dein breites Angebot illegaler Güter. Hast du auch heftig-deftige Memes im Angebot, welche zu gut sind, um legal zu sein, und welche wir hier einer Anal || 0f82d9c3: eat shit || 3..."
7,58_session_0003#turn578,Media Sharing,neutral_acknowledgment,202331403893875225.png,3,8.7962,202331403893877459.png,True,c9327094: [sticker:5893427997561587841.png] || c9327094: [sticker:5910981387166420143.png] || bfec7fda: [sticker:5190737336089978425.webm] || None: [sticker:5812254155049273990.png] || None: [sticker:59740448773048921...
8,19_session_0008#turn2021,Media Sharing,neutral_acknowledgment,202331403893877764.png,3,8.7078,202331403893877739.png,True,8223cd79: || 5484f3bf: || 8223cd79: || bc545aa2: [sticker:202331403893872726.png] || 5484f3bf: || 0d38ffda: || 52afea24: || dc777b1f: || 0e72b539: [sticker:353547126392750430.gif] || bc545aa2: [sticker:597888610860636...
9,53_session_0019#turn464,Game,neutral_acknowledgment,1833563040931381707.png,3,8.6755,1833563040931381714.png,True,8a23b6b1: So I can buy remote raid pass 😜 || 66180102: Lol || c910d520: the gold box not worth it || a5b38070: How to know whether it's shundo or hundo || b3c0b113: Depends when it's shiny or not || a5b38070: I tot so...
10,53_session_0019#turn345,Game,frustration_disapproval,1833563040931381719.png,4,9.1679,1833563040931381707.png,True,586d3885: :D || 6ccc8e12: Anyone raiding can inv me 000825553884 || 8a23b6b1: IK || 8a23b6b1: Hehe || 1f36e2d1: . || 7c535099: No meteorite. Waste of time || 8267c41f: || 8a23b6b1: First rayquaza of the day give me th...
